date,killed,wounded,city,state,lat,lon
2013-06-14T00:00:00.000Z,0,5,High Point,NC,35.9556924,-80.0053176
2013-06-15T00:00:00.000Z,0,4,Nashville,TN,36.1622767,-86.7742984
2013-06-15T00:00:00.000Z,1,3,Houston,TX,29.7589382,-95.3676974
2013-06-16T00:00:00.000Z,1,3,Chicago,IL,41.8755616,-87.6244212
2013-06-18T00:00:00.000Z,1,3,Berkeley,MO,37.8708393,-122.272863
2013-06-19T00:00:00.000Z,3,1,Louisville,KY,38.2542376,-85.759407
2013-06-21T00:00:00.000Z,1,3,Chicago,IL,41.8755616,-87.6244212
2013-06-21T00:00:00.000Z,0,6,Norfolk,VA,36.8448348,-76.2863999
2013-06-21T00:00:00.000Z,0,5,Greenville,NC,34.851354,-82.3984882
2013-06-22T00:00:00.000Z,1,4,Baltimore,MD,39.2908816,-76.610759
2013-06-22T00:00:00.000Z,1,4,Paterson,NJ,40.9167654,-74.171811
2013-06-22T00:00:00.000Z,0,4,Providence,RI,41.8239891,-71.4128343
2013-06-23T00:00:00.000Z,1,3,Chattanooga,TN,35.0457219,-85.3094883
2013-06-23T00:00:00.000Z,1,3,Sacramento,CA,38.5810606,-121.493895
2013-06-23T00:00:00.000Z,1,8,Kansas City,MO,39.100105,-94.5781416
2013-06-23T00:00:00.000Z,0,4,New Orleans,LA,29.9759983,-90.0782127
2013-06-23T00:00:00.000Z,1,4,Virginia Beach,VA,36.8529841,-75.9774183
2013-06-24T00:00:00.000Z,1,3,Kansas City,MO,39.100105,-94.5781416
2013-06-25T00:00:00.000Z,1,4,Chicago,IL,41.8755616,-87.6244212
2013-06-27T00:00:00.000Z,2,2,Three Rivers,CA,28.4647614,-98.1809755
2013-06-28T00:00:00.000Z,0,6,Chicago,IL,41.8755616,-87.6244212
2013-06-29T00:00:00.000Z,3,1,North Charleston,SC,32.8546197,-79.9748103
2013-06-30T00:00:00.000Z,0,4,Aurora,CO,41.7571701,-88.3147539
2013-06-30T00:00:00.000Z,0,8,Brooklyn,NY,40.6526006,-73.9497211
2013-07-01T00:00:00.000Z,4,0,Fort Worth,TX,32.753177,-97.3327459
2013-07-03T00:00:00.000Z,1,3,Calais,ME,45.189032,-67.2781424
2013-07-04T00:00:00.000Z,0,4,Chicago,IL,41.8755616,-87.6244212
2013-07-04T00:00:00.000Z,1,6,Pontiac,MI,42.6389216,-83.2910468
2013-07-05T00:00:00.000Z,1,3,Macon,GA,32.8406946,-83.6324022
2013-07-06T00:00:00.000Z,0,4,Florence,AL,34.79981,-87.677251
2013-07-06T00:00:00.000Z,1,7,Chicago,IL,41.8755616,-87.6244212
2013-07-06T00:00:00.000Z,1,3,Los Angeles,CA,34.0536909,-118.242766
2013-07-06T00:00:00.000Z,1,3,Brooklyn,NY,40.6526006,-73.9497211
2013-07-07T00:00:00.000Z,0,4,Meridian,MS,32.3643098,-88.703656
2013-07-07T00:00:00.000Z,0,5,Chicago,IL,41.8755616,-87.6244212
2013-07-07T00:00:00.000Z,1,3,Pompano Beach,FL,26.2378597,-80.1247667
2013-07-07T00:00:00.000Z,1,4,Stockton,CA,37.9577016,-121.2907796
2013-07-09T00:00:00.000Z,0,4,Balimore,MD,,
2013-07-09T00:00:00.000Z,2,2,Rockford,IL,42.2713945,-89.093966
2013-07-11T00:00:00.000Z,2,2,Charlotte,NC,35.2272086,-80.8430827
2013-07-12T00:00:00.000Z,1,4,Hamilton Township,NJ,42.1136786,-86.0501557732899
2013-07-12T00:00:00.000Z,1,3,San Francisco,CA,37.7790262,-122.419906
2013-07-12T00:00:00.000Z,2,2,Greensburg,KY,40.3014581,-79.5389289
2013-07-13T00:00:00.000Z,1,3,Oklahoma City,OK,35.4729886,-97.5170536
2013-07-13T00:00:00.000Z,0,4,Washington,DC,38.8950368,-77.0365427
2013-07-14T00:00:00.000Z,1,4,Wichita,KS,37.6922361,-97.3375448
2013-07-14T00:00:00.000Z,0,5,Kentwood,MI,42.8694731,-85.6447492
2013-07-17T00:00:00.000Z,3,1,Oakland,CA,37.8044557,-122.271356
2013-07-19T00:00:00.000Z,0,4,Madera,CA,37.1716264,-119.7737991
2013-07-19T00:00:00.000Z,0,4,Hartford,CT,41.764582,-72.6908547
2013-07-20T00:00:00.000Z,0,5,Campbell,OH,38.9339799,-84.3715286
2013-07-21T00:00:00.000Z,0,5,Brooklyn,NY,40.6526006,-73.9497211
2013-07-21T00:00:00.000Z,2,2,Fort Pierce,FL,27.4467056,-80.3256056
2013-07-21T00:00:00.000Z,0,4,Brooklyn,NY,40.6526006,-73.9497211
2013-07-24T00:00:00.000Z,0,4,Topeka,KS,39.049011,-95.677556
2013-07-25T00:00:00.000Z,0,4,Inkster,MI,42.2942045,-83.3099303
2013-07-26T00:00:00.000Z,4,0,Clarksburg,WV,39.2806451,-80.3445341
2013-07-26T00:00:00.000Z,7,0,Hialea,FL,39.0973088,-84.3724083
2013-07-27T00:00:00.000Z,1,3,Farmington,NM,44.6402434,-93.1435497
2013-07-28T00:00:00.000Z,0,4,Granger,WA,41.7610984,-93.8243925
2013-07-28T00:00:00.000Z,0,4,Dallas,TX,32.7762719,-96.7968559
2013-07-30T00:00:00.000Z,0,4,Lea County,NM,32.7448727,-103.3828242
2013-08-02T00:00:00.000Z,4,0,Whitesburg,KY,37.1184318,-82.8268265
2013-08-02T00:00:00.000Z,2,3,Newark,NJ,40.735657,-74.1723667
2013-08-02T00:00:00.000Z,0,4,Broad Ripple,IN,39.8695272,-86.1431837
2013-08-03T00:00:00.000Z,0,5,Detriot,MI,,
2013-08-04T00:00:00.000Z,3,4,Salinas,CA,36.6744117,-121.655037
2013-08-04T00:00:00.000Z,1,3,Kansas City,Mo,39.100105,-94.5781416
2013-08-05T00:00:00.000Z,3,4,Ross Township,PA,40.5419843,-80.0114344
2013-08-05T00:00:00.000Z,0,4,Montclair,NJ,40.8164458,-74.2210643
2013-08-07T00:00:00.000Z,4,4,Dallas,TX,32.7762719,-96.7968559
2013-08-11T00:00:00.000Z,1,3,East Flatbush,NY,40.6537148,-73.9304151
2013-08-11T00:00:00.000Z,0,4,Wilmington,DE,39.7459468,-75.546589
2013-08-11T00:00:00.000Z,2,2,St. Louis,MO,38.6280278,-90.1910154
2013-08-11T00:00:00.000Z,1,4,Portsmouth,VA,43.0702223,-70.7548621
2013-08-16T00:00:00.000Z,0,4,Philadelphia,PA,39.9527237,-75.1635262
2013-08-17T00:00:00.000Z,0,4,Oakland,CA,37.8044557,-122.271356
2013-08-18T00:00:00.000Z,1,3,Chicago,IL,41.8755616,-87.6244212
2013-08-18T00:00:00.000Z,0,4,St. Louis,MO,38.6280278,-90.1910154
2013-08-18T00:00:00.000Z,1,4,Chesterfield County,SC,37.3859982,-77.578509
2013-08-18T00:00:00.000Z,1,3,Rochester,NY,43.157285,-77.615214
2013-08-18T00:00:00.000Z,0,4,Toledo,OH,41.6529143,-83.5378173
2013-08-18T00:00:00.000Z,0,4,Port Norris,NJ,39.2446615,-75.03827507839398
2013-08-19T00:00:00.000Z,0,5,Chicago,IL,41.8755616,-87.6244212
2013-08-20T00:00:00.000Z,0,4,Vanceboro,NC,45.5634998,-67.4297657
2013-08-20T00:00:00.000Z,2,2,Baltimore,MD,39.2908816,-76.610759
2013-08-20T00:00:00.000Z,4,0,Oklahoma City,OK,35.4729886,-97.5170536
2013-08-22T00:00:00.000Z,2,2,Shaler Township,PA,40.5218904,-79.9616141
2013-08-23T00:00:00.000Z,1,6,Baltimore,MD,39.2908816,-76.610759
2013-08-24T00:00:00.000Z,0,4,Indianapolis,IN,39.7683331,-86.1583502
2013-08-25T00:00:00.000Z,1,4,Dillon County,SC,34.4014089,-79.3864339
