date,killed,city,state,lat,lon
2015-03-17T00:00:00.000Z,3,Stockton,CA,37.9577016,-121.2907796
2015-03-24T00:00:00.000Z,4,Indianapolis,IN,39.7683331,-86.1583502
2015-03-30T00:00:00.000Z,4,Tulsa,OK,36.1563122,-95.9927516
2015-04-16T00:00:00.000Z,5,Phoenix,AZ,33.4484367,-112.074141
2015-05-03T00:00:00.000Z,4,Menasha,WI,44.2022293,-88.4465361
2015-05-12T00:00:00.000Z,5,Tucson,AZ,32.2228765,-110.9748477
2015-05-17T00:00:00.000Z,9,Waco,TX,31.549333,-97.1466695
2015-05-31T00:00:00.000Z,3,Cleveland,OH,41.4996574,-81.6936772
2015-06-03T00:00:00.000Z,3,Wyandanch,NY,40.7539878,-73.360398
2015-06-07T00:00:00.000Z,5,Deer Lodge,MT,46.0753795,-113.089332
2015-06-13T00:00:00.000Z,4,Columbus,OH,39.9622601,-83.0007065
2015-06-17T00:00:00.000Z,9,Charleston,SC,32.7884363,-79.9399309
2015-06-21T00:00:00.000Z,4,Roy,UT,41.1715361,-112.0273739
2015-06-23T00:00:00.000Z,3,Breaux Bridge,LA,30.2735323,-91.8992837
2015-06-27T00:00:00.000Z,4,Greenacres,FL,26.623679,-80.1253213
2015-07-05T00:00:00.000Z,4,Rock Hill,SC,34.9248667,-81.0250784
2015-07-07T00:00:00.000Z,3,Baltimore,MD,39.2908816,-76.610759
2015-07-12T00:00:00.000Z,3,Baton Rouge,LA,30.4507936,-91.1391153
2015-07-15T00:00:00.000Z,4,Holly Hill,SC,29.2435916,-81.0375555
2015-07-16T00:00:00.000Z,6,Chattanooga,TN,35.0457219,-85.3094883
2015-07-22T00:00:00.000Z,4,Forsyth County,GA,36.1476399,-80.2415712
2015-07-23T00:00:00.000Z,3,Lafayette,LA,30.2043259,-92.0298813
2015-08-07T00:00:00.000Z,4,Barre,VT,44.1969042,-72.5007458
2015-08-08T00:00:00.000Z,8,Houston,TX,29.7589382,-95.3676974
2015-08-19T00:00:00.000Z,3,Rochester,NY,43.157285,-77.615214
2015-08-21T00:00:00.000Z,3,Roswell,NM,34.02332,-84.360022
2015-08-26T00:00:00.000Z,3,Moneta,VA,37.1812537,-79.6172536
2015-08-29T00:00:00.000Z,3,Bristol,TN,41.7425538,-71.0856545
2015-09-01T00:00:00.000Z,4,Long Branch,NJ,40.3042778,-73.9923596
2015-09-08T00:00:00.000Z,4,Manson,WA,42.5291439,-94.5341421
2015-09-10T00:00:00.000Z,5,Greenwood,MN,37.8709542,-96.2471338
2015-09-13T00:00:00.000Z,4,Baker,LA,0.19541795,-176.47793588059142
2015-09-17T00:00:00.000Z,6,Platte,SD,39.3770348,-94.7716306
2015-09-29T00:00:00.000Z,3,Chicago,IL,41.8755616,-87.6244212
2015-10-01T00:00:00.000Z,10,Roseburg,OR,43.216505,-123.3417381
2015-10-01T00:00:00.000Z,3,Inglis,FL,29.0302514,-82.6687161
2015-10-31T00:00:00.000Z,4,Colorado Springs,CO,38.8339578,-104.825348
